seqid	species
ZCMV2513	Mantella_pulchra
ZCMV2487	Mantella_pulchra
ZCMV2488	Mantella_pulchra
ZCMV2489	Mantella_pulchra
ZCMV2490	Mantella_pulchra
ZCMV2509	Mantella_pulchra
ZCMV2481	Mantella_milotympanum
ZCMV2467	Mantella_milotympanum
ZCMV2466	Mantella_milotympanum
ZCMV2464	Mantella_milotympanum
ZCMV2463	Mantella_milotympanum
ZCMV2462	Mantella_milotympanum
ZCMV2461	Mantella_milotympanum
ZMA20289	Mantella_madagascariensis
ZMA20327	Mantella_madagascariensis
ZMA20328	Mantella_madagascariensis
ZMA20329	Mantella_madagascariensis
FGMV20020261	Mantella_madagascariensis
ZCMV0919	Mantella_madagascariensis
ZCMV0918	Mantella_madagascariensis
ZCMV0917	Mantella_madagascariensis
ZCMV0916	Mantella_madagascariensis
ZCMV0915	Mantella_madagascariensis
ZCMV1061	Mantella_madagascariensis
ZCMV1058	Mantella_madagascariensis
ZCMV1057	Mantella_madagascariensis
ZCMV1056	Mantella_madagascariensis
DRV5868	Mantella_crocea
DRV5867	Mantella_crocea
ZCMV11246	Mantella_crocea
ZCMV1040	Mantella_crocea
ZCMV1039	Mantella_crocea
ZCMV1037	Mantella_crocea
ZCMV1036	Mantella_crocea
ZCMV1035	Mantella_crocea
ZCMV1034	Mantella_crocea
ZCMV1033	Mantella_crocea
ZCMV1032	Mantella_crocea
ZCMV1031	Mantella_crocea
ZCMV1030	Mantella_crocea
ZCMV1029	Mantella_crocea
ZCMV1028	Mantella_crocea
ZCMV1086	Mantella_crocea
ZCMV1085	Mantella_crocea
ZCMV1079	Mantella_crocea
ZCMV1087	Mantella_crocea
ZCMV60	Mantella_crocea
ZCMV61	Mantella_crocea
ZCMV62	Mantella_crocea
ZCMV63	Mantella_crocea
ZCMV64	Mantella_crocea
ZCMV1077	Mantella_aurantiaca
ZCMV104	Mantella_aurantiaca
ZCMV105	Mantella_aurantiaca
ZCMV106	Mantella_aurantiaca
ZCMV107	Mantella_aurantiaca
ZCMV108	Mantella_aurantiaca
ZCMV109	Mantella_aurantiaca
ZCMV110	Mantella_aurantiaca
ZCMV111	Mantella_aurantiaca
ZCMV407	Mantella_aurantiaca
ZCMV415	Mantella_aurantiaca
ZCMV408	Mantella_aurantiaca
ZCMV416	Mantella_aurantiaca
ZCMV409	Mantella_aurantiaca
ZCMV417	Mantella_aurantiaca
